DATE,DATE,M1SL
2012-01-01,2012-01-01,2201.8
2012-02-01,2012-02-01,2207.1
2012-03-01,2012-03-01,2227.8
2012-04-01,2012-04-01,2237.3
2012-05-01,2012-05-01,2256.2
2012-06-01,2012-06-01,2275.3
2012-07-01,2012-07-01,2315.0
2012-08-01,2012-08-01,2354.1
2012-09-01,2012-09-01,2386.6
2012-10-01,2012-10-01,2420.1
2012-11-01,2012-11-01,2441.2
2012-12-01,2012-12-01,2460.7
2013-01-01,2013-01-01,2475.5
2013-02-01,2013-02-01,2470.6
2013-03-01,2013-03-01,2477.5
2013-04-01,2013-04-01,2507.1
2013-05-01,2013-05-01,2527.9
2013-06-01,2013-06-01,2528.3
2013-07-01,2013-07-01,2544.5
2013-08-01,2013-08-01,2555.9
2013-09-01,2013-09-01,2584.8
2013-10-01,2013-10-01,2623.6
2013-11-01,2013-11-01,2634.6
2013-12-01,2013-12-01,2664.3
2014-01-01,2014-01-01,2698.9
2014-02-01,2014-02-01,2724.7
2014-03-01,2014-03-01,2751.4
2014-04-01,2014-04-01,2773.2
2014-05-01,2014-05-01,2791.3
2014-06-01,2014-06-01,2827.1
2014-07-01,2014-07-01,2843.0
2014-08-01,2014-08-01,2804.2
2014-09-01,2014-09-01,2865.2
2014-10-01,2014-10-01,2870.7
2014-11-01,2014-11-01,2888.8
2014-12-01,2014-12-01,2940.9
2015-01-01,2015-01-01,2941.3
2015-02-01,2015-02-01,3005.4
2015-03-01,2015-03-01,2998.4
2015-04-01,2015-04-01,2999.2
2015-05-01,2015-05-01,2981.9
2015-06-01,2015-06-01,3020.9
2015-07-01,2015-07-01,3040.9
2015-08-01,2015-08-01,3029.0
2015-09-01,2015-09-01,3047.0
2015-10-01,2015-10-01,3018.8
2015-11-01,2015-11-01,3082.3
2015-12-01,2015-12-01,3095.8
2016-01-01,2016-01-01,3096.9
2016-02-01,2016-02-01,3128.8
2016-03-01,2016-03-01,3154.0
2016-04-01,2016-04-01,3198.5
2016-05-01,2016-05-01,3237.6
2016-06-01,2016-06-01,3246.1
2016-07-01,2016-07-01,3246.0
2016-08-01,2016-08-01,3319.3
2016-09-01,2016-09-01,3327.7
2016-10-01,2016-10-01,3333.4
2016-11-01,2016-11-01,3355.0
2016-12-01,2016-12-01,3340.9
2017-01-01,2017-01-01,3391.2
2017-02-01,2017-02-01,3402.7
2017-03-01,2017-03-01,3450.5
2017-04-01,2017-04-01,3451.2
2017-05-01,2017-05-01,3516.1
2017-06-01,2017-06-01,3524.9
2017-07-01,2017-07-01,3548.6
2017-08-01,2017-08-01,3587.8
2017-09-01,2017-09-01,3571.2
2017-10-01,2017-10-01,3606.3
2017-11-01,2017-11-01,3631.0
2017-12-01,2017-12-01,3610.6
2018-01-01,2018-01-01,3656.2
2018-02-01,2018-02-01,3619.0
2018-03-01,2018-03-01,3663.4
2018-04-01,2018-04-01,3655.2
2018-05-01,2018-05-01,3650.8
2018-06-01,2018-06-01,3652.2
2018-07-01,2018-07-01,3677.5
2018-08-01,2018-08-01,3693.2
2018-09-01,2018-09-01,3701.8
2018-10-01,2018-10-01,3728.2
2018-11-01,2018-11-01,3705.6
2018-12-01,2018-12-01,3763.4
2019-01-01,2019-01-01,3754.8
2019-02-01,2019-02-01,3762.9
2019-03-01,2019-03-01,3733.6
2019-04-01,2019-04-01,3775.0
2019-05-01,2019-05-01,3783.2
2019-06-01,2019-06-01,3824.4
2019-07-01,2019-07-01,3856.8
2019-08-01,2019-08-01,3858.9
2019-09-01,2019-09-01,3900.0
2019-10-01,2019-10-01,3935.3
2019-11-01,2019-11-01,3955.3
2019-12-01,2019-12-01,4007.1
2020-01-01,2020-01-01,3993.6
2020-02-01,2020-02-01,4002.9
2020-03-01,2020-03-01,4261.9
2020-04-01,2020-04-01,4779.8
2020-05-01,2020-05-01,16232.9
2020-06-01,2020-06-01,16563.5
2020-07-01,2020-07-01,16763.8
2020-08-01,2020-08-01,16896.7
2020-09-01,2020-09-01,17161.5
2020-10-01,2020-10-01,17365.3
2020-11-01,2020-11-01,17626.7
2020-12-01,2020-12-01,17834.4
2021-01-01,2021-01-01,18107.0
2021-02-01,2021-02-01,18367.6
2021-03-01,2021-03-01,18641.4
2021-04-01,2021-04-01,18927.5
2021-05-01,2021-05-01,19259.7
2021-06-01,2021-06-01,19319.7
2021-07-01,2021-07-01,19497.5
2021-08-01,2021-08-01,19746.6
