DATE,M2V
2011-10-31,1.648
2011-11-30,1.648
2011-12-31,1.648
2012-01-31,1.642
2012-02-29,1.642
2012-03-31,1.642
2012-04-30,1.631
2012-05-31,1.631
2012-06-30,1.631
2012-07-31,1.612
2012-08-31,1.612
2012-09-30,1.612
2012-10-31,1.586
2012-11-30,1.586
2012-12-31,1.586
2013-01-31,1.583
2013-02-28,1.583
2013-03-31,1.583
2013-04-30,1.571
2013-05-31,1.571
2013-06-30,1.571
2013-07-31,1.568
2013-08-31,1.568
2013-09-30,1.568
2013-10-31,1.56
2013-11-30,1.56
2013-12-31,1.56
2014-01-31,1.538
2014-02-28,1.538
2014-03-31,1.538
2014-04-30,1.542
2014-05-31,1.542
2014-06-30,1.542
2014-07-31,1.547
2014-08-31,1.547
2014-09-30,1.547
2014-10-31,1.537
2014-11-30,1.537
2014-12-31,1.537
2015-01-31,1.521
2015-02-28,1.521
2015-03-31,1.521
2015-04-30,1.521
2015-05-31,1.521
2015-06-30,1.521
2015-07-31,1.512
2015-08-31,1.512
2015-09-30,1.512
2015-10-31,1.493
2015-11-30,1.493
2015-12-31,1.493
2016-01-31,1.469
2016-02-29,1.469
2016-03-31,1.469
2016-04-30,1.458
2016-05-31,1.458
2016-06-30,1.458
2016-07-31,1.448
2016-08-31,1.448
2016-09-30,1.448
2016-10-31,1.441
2016-11-30,1.441
2016-12-31,1.441
2017-01-31,1.435
2017-02-28,1.435
2017-03-31,1.435
2017-04-30,1.429
2017-05-31,1.429
2017-06-30,1.429
2017-07-31,1.43
2017-08-31,1.43
2017-09-30,1.43
2017-10-31,1.44
2017-11-30,1.44
2017-12-31,1.44
2018-01-31,1.448
2018-02-28,1.448
2018-03-31,1.448
2018-04-30,1.459
2018-05-31,1.459
2018-06-30,1.459
2018-07-31,1.457
2018-08-31,1.457
2018-09-30,1.457
2018-10-31,1.458
2018-11-30,1.458
2018-12-31,1.458
2019-01-31,1.451
2019-02-28,1.451
2019-03-31,1.451
2019-04-30,1.454
2019-05-31,1.454
2019-06-30,1.454
2019-07-31,1.441
2019-08-31,1.441
2019-09-30,1.441
2019-10-31,1.424
2019-11-30,1.424
2019-12-31,1.424
2020-01-31,1.376
2020-02-29,1.376
2020-03-31,1.376
2020-04-30,1.103
2020-05-31,1.103
2020-06-30,1.103
2020-07-31,1.149
2020-08-31,1.149
2020-09-30,1.149
2020-10-31,1.134
2020-11-30,1.134
2020-12-31,1.134
2021-01-31,1.124
2021-02-28,1.124
2021-03-31,1.124
2021-04-30,1.119
2021-05-31,1.119
2021-06-30,1.119
2021-07-31,1.114
2021-08-31,1.114
2021-09-30,1.114
2021-10-31,1.125
2021-11-30,1.125
2021-12-31,1.125
2022-01-31,1.124
2022-02-28,1.124
2022-03-31,1.124
